threshold,accuracy,auroc,precision,recall_sensitivity,specificity,f1,brier_score,negative_log_likelihood,ece_10_bins,mean_confidence,overconfidence_gap,true_negative,false_positive,false_negative,true_positive,num_studies,backbone,probability_type,aggregation_method
0.5,0.8223519599666389,0.8783244942606955,0.8571428571428571,0.724907063197026,0.9016641452344932,0.7854984894259819,0.13407846697918063,0.42800466405989984,0.026665699213036645,0.8009685830558263,-0.0213833769108126,596,65,148,390,1199,resnet18,vanilla,mean
0.5,0.7956630525437864,0.8749500868909896,0.7592920353982301,0.7973977695167286,0.794251134644478,0.7778785131459656,0.14438000191809633,0.4557651311775154,0.021282044349457897,0.8019813450166805,0.00631829247289406,525,136,109,429,1199,resnet18,vanilla,max
0.5,0.8156797331109258,0.877213751834834,0.8189134808853119,0.7565055762081785,0.8638426626323752,0.7864734299516908,0.13586754118892252,0.43154798031981223,0.019348922262301935,0.8021204743048373,-0.013559258806088437,571,90,131,407,1199,resnet18,vanilla,top2_mean
0.5,0.823185988323603,0.8818788700234521,0.8975609756097561,0.6840148698884758,0.9364599092284418,0.7763713080168776,0.13066460850034595,0.42739051641752146,0.015620261343013963,0.8341170361750964,0.010931047851493347,619,42,170,368,1199,resnet50,vanilla,mean
0.5,0.8206839032527106,0.8806415873212265,0.8275862068965517,0.758364312267658,0.8714069591527988,0.7914645974781765,0.1322998197161537,0.43290411797076933,0.026636852418682216,0.8298594913344454,0.009175588081734798,576,85,130,408,1199,resnet50,vanilla,max
0.5,0.8248540450375312,0.8809424719783587,0.8744292237442922,0.7118959107806692,0.9167927382753404,0.7848360655737705,0.12947770369474032,0.42247578813679587,0.02076623289199339,0.8322385729628857,0.007384527925354489,606,55,155,383,1199,resnet50,vanilla,top2_mean
