backbone,aggregation_method,study_level_temperature,vanilla_accuracy,scaled_accuracy,vanilla_auroc,scaled_auroc,vanilla_f1,scaled_f1,vanilla_ece_10_bins,scaled_ece_10_bins,vanilla_brier_score,scaled_brier_score,vanilla_nll,scaled_nll,vanilla_overconfidence_gap,scaled_overconfidence_gap
resnet18,max,1.1800000000000002,0.7956630525437864,0.7956630525437864,0.8749500868909896,0.8749500868909896,0.7778785131459656,0.7778785131459656,0.0212820445485244,0.0289632962123112,0.1443800022293505,0.1448748847205383,0.4557651161510073,0.4525485940721929,0.0063182910903356,-0.0169016672022895
resnet18,mean,1.0,0.8223519599666389,0.8223519599666389,0.8783244942606955,0.8783244942606955,0.7854984894259819,0.7854984894259819,0.0266656994848297,0.0266656994848297,0.1340784668859887,0.1340784668859887,0.4280046599280141,0.4280046599280141,-0.0213833784083278,-0.0213833784083278
resnet18,top2_mean,1.04,0.8156797331109258,0.8156797331109258,0.877213751834834,0.8771856317734198,0.7864734299516908,0.7864734299516908,0.0193489234595717,0.0273399181996327,0.1358675412049467,0.1360564399624618,0.4315479741503926,0.4313941115636448,-0.0135592603130869,-0.0189999492788494
resnet50,max,1.17,0.8206839032527106,0.8206839032527106,0.8806415873212265,0.8806415873212265,0.7914645974781765,0.7914645974781765,0.0266368513292919,0.0187798651520664,0.132299820984511,0.1325594551312589,0.4328976011062586,0.4292378563136363,0.0091755860963339,-0.0149945350044509
resnet50,mean,1.14,0.823185988323603,0.8223519599666389,0.8818788700234521,0.8818873060418764,0.7763713080168776,0.7750791974656811,0.0156202609143254,0.0190615431281158,0.1306646085718113,0.1307197577933794,0.4273905589952268,0.4250063838861714,0.0109310461751812,-0.0083999862689454
resnet50,top2_mean,1.12,0.8248540450375312,0.8248540450375312,0.8809424719783587,0.880883419849389,0.7848360655737705,0.7848360655737705,0.0207662320592483,0.0199511086223923,0.129477704059234,0.1296465329137144,0.4224758323073376,0.4206540278504382,0.0073845260217437,-0.0099539288695015
